Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/08/2023 18:30,Carlo Castellani,Empoli,Hellas Verona,0 - 1
2,1,19/08/2023 18:30,Benito Stirpe,Frosinone,Napoli,1 - 3
3,1,19/08/2023 20:45,Luigi Ferraris,Genoa,Fiorentina,1 - 4
4,1,19/08/2023 20:45,San Siro,Inter,Monza,2 - 0
5,1,20/08/2023 18:30,Olimpico,Roma,Salernitana,2 - 2
6,1,20/08/2023 18:30,Mapei Stadium - Città del Tricolore,Sassuolo,Atalanta,0 - 2
7,1,20/08/2023 20:45,Ettore Giardiniero - Via del mare,Lecce,Lazio,2 - 1
8,1,20/08/2023 20:45,Friuli,Udinese,Juventus,0 - 3
9,1,21/08/2023 18:30,Olimpico Grande Torino,Torino,Cagliari,0 - 0
10,1,21/08/2023 20:45,Renato Dall'Ara,Bologna,Milan,0 - 2
11,2,26/08/2023 18:30,Benito Stirpe,Frosinone,Atalanta,2 - 1
12,2,26/08/2023 18:30,Brianteo,Monza,Empoli,2 - 0
13,2,26/08/2023 20:45,San Siro,Milan,Torino,4 - 1
14,2,26/08/2023 20:45,Marcantonio Bentegodi,Hellas Verona,Roma,2 - 1
15,2,27/08/2023 18:30,Artemio Franchi,Fiorentina,Lecce,2 - 2
16,2,27/08/2023 18:30,Juventus Stadium,Juventus,Bologna,1 - 1
17,2,27/08/2023 20:45,Olimpico,Lazio,Genoa,0 - 1
18,2,27/08/2023 20:45,Diego Armando Maradona,Napoli,Sassuolo,2 - 0
19,2,28/08/2023 18:30,Arechi,Salernitana,Udinese,1 - 1
20,2,28/08/2023 20:45,Unipol Domus,Cagliari,Inter,0 - 2
21,3,01/09/2023 18:30,Mapei Stadium - Città del Tricolore,Sassuolo,Hellas Verona,3 - 1
22,3,01/09/2023 20:45,Olimpico,Roma,Milan,1 - 2
23,3,02/09/2023 18:30,Renato Dall'Ara,Bologna,Cagliari,2 - 1
24,3,02/09/2023 18:30,Friuli,Udinese,Frosinone,0 - 0
25,3,02/09/2023 20:45,Atleti Azzurri d'Italia,Atalanta,Monza,3 - 0
26,3,02/09/2023 20:45,Diego Armando Maradona,Napoli,Lazio,1 - 2
27,3,03/09/2023 18:30,San Siro,Inter,Fiorentina,4 - 0
28,3,03/09/2023 18:30,Olimpico Grande Torino,Torino,Genoa,1 - 0
29,3,03/09/2023 20:45,Carlo Castellani,Empoli,Juventus,0 - 2
30,3,03/09/2023 20:45,Ettore Giardiniero - Via del mare,Lecce,Salernitana,2 - 0
31,4,16/09/2023 15:00,Juventus Stadium,Juventus,Lazio,3 - 1
32,4,16/09/2023 18:00,San Siro,Inter,Milan,5 - 1
33,4,16/09/2023 20:45,Luigi Ferraris,Genoa,Napoli,2 - 2
34,4,17/09/2023 12:30,Unipol Domus,Cagliari,Udinese,0 - 0
35,4,17/09/2023 15:00,Brianteo,Monza,Lecce,1 - 1
36,4,17/09/2023 15:00,Benito Stirpe,Frosinone,Sassuolo,4 - 2
37,4,17/09/2023 18:00,Artemio Franchi,Fiorentina,Atalanta,3 - 2
38,4,17/09/2023 20:45,Olimpico,Roma,Empoli,7 - 0
39,4,18/09/2023 18:30,Arechi,Salernitana,Torino,0 - 3
40,4,18/09/2023 20:45,Marcantonio Bentegodi,Hellas Verona,Bologna,0 - 0
47,5,22/09/2023 18:30,Arechi,Salernitana,Frosinone,1 - 1
45,5,22/09/2023 20:45,Ettore Giardiniero - Via del mare,Lecce,Genoa,1 - 0
46,5,23/09/2023 15:00,San Siro,Milan,Hellas Verona,1 - 0
48,5,23/09/2023 18:00,Mapei Stadium - Città del Tricolore,Sassuolo,Juventus,4 - 2
44,5,23/09/2023 20:45,Olimpico,Lazio,Monza,1 - 1
43,5,24/09/2023 12:30,Carlo Castellani,Empoli,Inter,0 - 1
41,5,24/09/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Cagliari,2 - 0
50,5,24/09/2023 15:00,Friuli,Udinese,Fiorentina,0 - 2
42,5,24/09/2023 18:00,Renato Dall'Ara,Bologna,Napoli,0 - 0
49,5,24/09/2023 20:45,Olimpico Grande Torino,Torino,Roma,1 - 1
